,npy_file,min,max
0,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_1563.npy,-7041.4097,7563.397
1,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_1525.npy,-5864.912,7534.0737
2,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_966.npy,-8148.355,4069.9092
3,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_1712.npy,-9233.529,7297.4795
4,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_96.npy,-4323.916,3505.246
5,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_207.npy,-3283.1267,3628.3513
6,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_100.npy,-4311.2725,3457.2588
7,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_2673.npy,-6385.45,5130.796
8,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run62_3271.npy,-6359.3994,4009.9243
9,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_2623.npy,-6356.6274,5319.587
10,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_3051.npy,-8248.345,5886.2163
11,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_1565.npy,-4443.51,2913.0474
12,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_839.npy,-5834.038,7547.7627
13,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_218.npy,-5621.06,4023.9158
14,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_1075.npy,-5148.1826,3384.7559
15,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_1775.npy,-9562.327,5156.631
16,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_2724.npy,-10170.065,8391.17
17,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_593.npy,-5367.442,3118.5703
18,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_1824.npy,-5872.188,4247.222
19,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_2209.npy,-6416.6597,4565.709
20,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run62_3100.npy,-9547.346,5377.005
21,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_452.npy,-4611.2446,4116.7397
22,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_2072.npy,-5032.5615,3290.0103
23,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_507.npy,-4043.6646,4023.9158
24,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run62_3432.npy,-5841.426,3974.3472
25,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_323.npy,-4431.515,4675.8413
26,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_481.npy,-5332.602,4497.9956
27,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run62_3090.npy,-8955.6045,7564.588
28,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run62_3490.npy,-6177.1436,4948.8813
29,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_1314.npy,-6990.434,4015.182
30,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run62_3465.npy,-7202.793,6022.605
31,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_1140.npy,-5733.5933,3997.2334
32,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_1009.npy,-5808.574,5154.9863
33,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run62_3498.npy,-8129.201,5963.3633
34,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_522.npy,-4063.474,3552.5188
35,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run62_3257.npy,-4380.374,3183.224
36,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_893.npy,-5087.266,4361.323
37,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_1690.npy,-3918.914,2996.502
38,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_1407.npy,-6065.4404,4107.7534
39,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_2195.npy,-7691.9272,7614.1104
40,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_2071.npy,-5997.972,3447.235
41,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_1017.npy,-5186.595,4671.967
42,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_2664.npy,-6004.4844,4394.211
43,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_1605.npy,-5634.2676,3152.9915
44,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_711.npy,-8055.0776,5483.325
45,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run62_3345.npy,-7027.202,4689.5977
46,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_1172.npy,-6014.904,2753.061
47,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run62_3558.npy,-9777.364,6449.926
48,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_985.npy,-4899.175,3170.5334
49,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_2043.npy,-3991.0923,5000.285
50,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run62_3549.npy,-9033.863,6498.395
51,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_2836.npy,-9881.126,8725.548
52,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run62_3259.npy,-6163.482,4150.06
53,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_511.npy,-7664.8013,4709.5044
54,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_2570.npy,-3749.8418,3596.3513
55,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run62_3375.npy,-6561.8833,4131.252
56,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_2018.npy,-5208.5117,3021.9841
57,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_881.npy,-6331.71,4266.4253
58,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_1312.npy,-5993.038,5434.6416
59,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_447.npy,-5420.8477,3642.2417
60,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run62_3173.npy,-4003.986,3203.7148
61,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_1389.npy,-5676.2363,4443.67
62,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_2847.npy,-5782.953,5579.5366
63,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_1606.npy,-5924.4556,4617.068
64,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_2370.npy,-3488.3162,3493.279
65,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run62_3169.npy,-5135.605,4790.3896
66,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_651.npy,-3821.1714,3785.7864
67,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_2598.npy,-5979.8755,3912.6099
68,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_3053.npy,-6447.509,5290.098
69,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_596.npy,-4521.424,3598.9907
70,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_2811.npy,-9832.365,8187.8213
71,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run1_309.npy,-4483.008,3359.3643
72,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_2055.npy,-4477.824,3596.6003
73,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_2984.npy,-9881.126,9472.29
74,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run62_3672.npy,-5088.8906,5102.97
75,/cosma5/data/durham/dc-gond1/official_pix2pix_data_velDiv_F4n1_GR/train/Run2_1743.npy,-5648.291,3924.3545
